parent,name,value,classification_1,classification_2,classification_3
حركة أمل,علي خليل,13155,شيعة,التنمية والتحرير,الأمل والولاء
حركة أمل,أشرف بيضون,10540,شيعة,التنمية والتحرير,الأمل والولاء
حركة أمل,أيوب حميد,6745,شيعة,التنمية والتحرير,الأمل والولاء
حركة أمل,قبلان قبلان,10143,شيعة,التنمية والتحرير,غداً أفضل
حركة أمل,غازي زعيتر,22058,شيعة,التنمية والتحرير,الأمل والولاء
مستقل,جان تالوزيان,4043,الأرمن الكاثوليك,لبنان السيادي,
مستقل,ملحم خلف,7141,الأرثوذكسية اليونانية,تغيير الكتلة,بيروت من أجل التغيير
مستقل,نبيل بدر,5631,سني,الاعتدال الوطني,هذه بيروت
مستقل,محمد يحيى,15142,سني,الإجماع الوطنيسوس,عكار أولاً
مستقل,ساجيه عطية,1948,الأرثوذكسية اليونانية,الاعتدال الوطني,القائمة الوطنية المعتدلة
مستقل,جهاد الصمد,7824,سني,,الإرادة الشعبية
مستقل,عبد الكريم كبارة,5023,سني,,للناس
مستقل,أشرف ريفي,11593,سني,تجديد السيادة البرلمانية,خلاص الأمة
مستقل,حيدر ناصر,313,علوي,,الثورة من أجل السيادة والعدالة
مستقل,إيهاب مطر,6518,سني,,التغيير الحقيقي
مستقل,جميل عبود,79,الأرثوذكسية اليونانية,الاعتدال الوطني,خلاص الأمة
مستقل,أديب عبد المسيح,1815,الأرثوذكسية اليونانية,تجديد السيادة البرلمانية,شمال المواجهة
مستقل,وليام طوق,3566,ماروني,الكتلة الوطنية المستقلة,وحدة الشمال
مستقل,فريد الخازن,9056,ماروني,الكتلة الوطنية المستقلة,قلب لبنان المستقل
مستقل,نعمت افرام,10743,ماروني,الاعتدال الوطني,صرخة أمة
مستقل,ميشال المر,8607,الأرثوذكسية اليونانية,الكتلة الوطنية المستقلة,أقوى معًا
مستقل,فريد البستاني,4347,ماروني,لبنان القوي,قائمة الجبال
مستقل,عبد الرحمن البزري,8526,سني,كتلة صيدا - جزين,نحن نصوت من أجل التغيير
مستقل,شربل مسعد,984,ماروني,كتلة صيدا - جزين,نحن نصوت من أجل التغيير
مستقل,الياس جرادة,9218,الأرثوذكسية اليونانية,تغيير الكتلة,معاً نحو التغيير
مستقل,فراس حمدان,4859,الدروز,تغيير الكتلة,معاً نحو التغيير
مستقل,ميشال ضاهر,9229,اليونانية الكاثوليكية,,السياديون المستقلون
مستقل,غسان سكاف,776,الأرثوذكسية اليونانية,,القرار الوطني المستقل
مستقل,ياسين ياسين,6004,سني,تغيير الكتلة,وادينا وجبلنا
مستقل,جميل السيد,11705,شيعة,الوفاء للمقاومة,الأمل والولاء
مستقل,ملحم الحجيري,7125,سني,الوفاء للمقاومة,الأمل والولاء
مستقل,ينال الصلح,8764,سني,الوفاء للمقاومة,الأمل والولاء
القوات اللبنانية,غسان حاصباني,7080,الأرثوذكسية اليونانية,الجمهورية القوية,بيروت نحن لك
القوات اللبنانية,جهاد بقرادوني,2186,الأرمن الأرثوذكس,الجمهورية القوية,بيروت نحن لك
القوات اللبنانية,إيلي خوري,3426,الأرثوذكسية اليونانية,الجمهورية القوية,خلاص الأمة
القوات اللبنانية,فادي كرم,9226,ماروني,الجمهورية القوية,نبض الجمهورية القوي
القوات اللبنانية,ستريدا طوق,7924,ماروني,الجمهورية القوية,نبض الجمهورية القوي
القوات اللبنانية,غياث يزبك,11094,ماروني,الجمهورية القوية,نبض الجمهورية القوي
القوات اللبنانية,زياد الحوات,13078,ماروني,الجمهورية القوية,معكم نستطيع حتى النهاية
القوات اللبنانية,شوقي دكاش,9129,ماروني,الجمهورية القوية,معكم نستطيع حتى النهاية
القوات اللبنانية,ملحم رياشي,15254,اليونانية الكاثوليكية,الجمهورية القوية,في الطريق إلى الحرية
القوات اللبنانية,راضي الحاج,3459,ماروني,الجمهورية القوية,في الطريق إلى الحرية
القوات اللبنانية,بيار بو عاصي,14756,ماروني,الجمهورية القوية,بعبدا السيادة والقرار
القوات اللبنانية,نزيه متى,9191,الأرثوذكسية اليونانية,الجمهورية القوية,الشراكة والرغبة
القوات اللبنانية,جورج عدوان,11433,ماروني,الجمهورية القوية,الشراكة والرغبة
القوات اللبنانية,غادة أيوب,7953,اليونانية الكاثوليكية,الجمهورية القوية,نقابتنا في صيدا وجزين
القوات اللبنانية,سعيد الأسمر,1102,اليونانية الكاثوليكية,الجمهورية القوية,نقابتنا في صيدا وجزين
القوات اللبنانية,إلياس إسطفان,6758,الأرثوذكسية اليونانية,الجمهورية القوية,سيادة زحلة
القوات اللبنانية,جورج عقيس,11921,اليونانية الكاثوليكية,الجمهورية القوية,سيادة زحلة
القوات اللبنانية,أنطوان حبشي,17000,ماروني,الجمهورية القوية,بناء الدولة
التيار الوطني الحر,نقولا صحناوي,4781,اليونانية الكاثوليكية,لبنان القوي,كنا وسنبقى لبيروت
التيار الوطني الحر,ادغار طرابلسي,2053,بروتستانتية,لبنان القوي,وحدة بيروت
التيار الوطني الحر,أسعد درغام,5754,الأرثوذكسية اليونانية,لبنان القوي,عكار أولاً
التيار الوطني الحر,جيمي جبور,8986,ماروني,لبنان القوي,عكار أولاً
التيار الوطني الحر,جورج عطا الله,2698,الأرثوذكسية اليونانية,لبنان القوي,سوف نبقى هنا
التيار الوطني الحر,جبران باسيل,8922,ماروني,لبنان القوي,سوف نبقى هنا
التيار الوطني الحر,سيمون أبي رميا,6239,ماروني,لبنان القوي,كنا وسنبقى
التيار الوطني الحر,ندى بستاني,11338,ماروني,لبنان القوي,كنا وسنبقى
التيار الوطني الحر,الياس بو صعب,4050,الأرثوذكسية اليونانية,لبنان القوي,كنا وسنبقى للمتن
التيار الوطني الحر,إبراهيم كنعان,5513,ماروني,لبنان القوي,كنا وسنبقى للمتن
التيار الوطني الحر,آلان عون,8457,ماروني,لبنان القوي,الوفاق الوطني
التيار الوطني الحر,سيزار أبي خليل,5698,ماروني,لبنان القوي,قائمة الجبال
التيار الوطني الحر,غسان عطا الله,5149,اليونانية الكاثوليكية,لبنان القوي,قائمة الجبال
التيار الوطني الحر,سليم عون,5554,ماروني,لبنان القوي,زحلة الرسالة
التيار الوطني الحر,شربل مارون,3576,ماروني,لبنان القوي,غداً أفضل
التيار الوطني الحر,سامر التوم,11343,اليونانية الكاثوليكية,لبنان القوي,الأمل والولاء
الحزب التقدمي الاشتراكي,فيصل الصايغ,2565,الدروز,اللقاء الديمقراطي,مواجهات بيروت
الحزب التقدمي الاشتراكي,هادي أبو الحسن,10764,الدروز,اللقاء الديمقراطي,بعبدا السيادة والقرار
الحزب التقدمي الاشتراكي,أكرم شهيب,11373,الدروز,اللقاء الديمقراطي,الشراكة والرغبة
الحزب التقدمي الاشتراكي,راجي سعد,8503,ماروني,اللقاء الديمقراطي,الشراكة والرغبة
الحزب التقدمي الاشتراكي,بلال عبد الله,8186,سني,اللقاء الديمقراطي,الشراكة والرغبة
الحزب التقدمي الاشتراكي,مروان حمادة,11121,الدروز,اللقاء الديمقراطي,الشراكة والرغبة
الحزب التقدمي الاشتراكي,نجاة عون صليبا,9332,ماروني,تغيير الكتلة,متحدون من أجل التغيير
الحزب التقدمي الاشتراكي,تيمور جنبلاط,12917,الدروز,اللقاء الديمقراطي,الشراكة والرغبة
الحزب التقدمي الاشتراكي,وائل ابو فاعور,9202,الدروز,اللقاء الديمقراطي,المستقبل لوط البقاع وراشيا
تيار المستقبل,أحمد رستم,324,علوي,الاعتدال الوطني,القائمة الوطنية المعتدلة
تيار المستقبل,محمد سليمان,11340,سني,الاعتدال الوطني,القائمة الوطنية المعتدلة
تيار المستقبل,وليد البعريني,11099,سني,الاعتدال الوطني,القائمة الوطنية المعتدلة
تيار المستقبل,أحمد خير,10221,سني,الاعتدال الوطني,لبنان لنا
تيار المستقبل,عبد العزيز الصمد,10221,سني,الاعتدال الوطني,لبنان لنا
تيار المستقبل,بلال هشيمة,2568,سني,,سيادة زحلة
حزب الكتائب اللبنانية,نديم الجميل,4425,ماروني,ممثلي الكتائب,لبنان السيادي
حزب الكتائب اللبنانية,سليم صايغ,3477,ماروني,ممثلي الكتائب,صرخة أمة
حزب الكتائب اللبنانية,الياس حنكش,6148,ماروني,ممثلي الكتائب,في طريق التغيير
حزب الكتائب اللبنانية,سامي الجميل,10466,ماروني,ممثلي الكتائب,في طريق التغيير
الأحباش,عدنان طرابلسي,8463,سني,الإجماع الوطني,لبيروت
الأحباش,طه ناجي,7407,سني,الإجماع الوطني,الإرادة الشعبية
بيروت تقاوم,ابراهيم منيمنة,13281,سني,تغيير الكتلة,بيروت من أجل التغيير
حزب التقدم,مارك ضو,11656,الدروز,تغيير الكتلة,متحدون من أجل التغيير
حزب الحوار الوطني,فؤاد مخزومي,10021,سني,تجديد السيادة البرلمانية,بيروت بحاجة إلى قلب
حزب الاتحاد (لبنان),حسن مراد,9157,سني,الإجماع الوطني,غداً أفضل
تيار المردة,طوني فرنجية,8945,ماروني,الكتلة الوطنية المستقلة,وحدة الشمال
حزب الطاشناق,هاكوب تريزيان,2667,الأرمن الأرثوذكس,كتلة النواب الأرمنية,كنا وسنبقى لبيروت
حزب الطاشناق,هاكوب بقرادونيان,4973,الأرمن الأرثوذكس,كتلة النواب الأرمنية,أقوى معًا
جبهة العمل الإسلامي,عماد الحوت,7362,سني,الاعتدال الوطني,هذه بيروت
التنظيم الشعبي الناصري في لبنان,أسامة سعد,7341,سني,كتلة صيدا - جزين,نحن نصوت من أجل التغيير
لـنا – حزب ديمقراطي اجتماعي,حليمة قعقور,6684,سني,تغيير الكتلة,متحدون من أجل التغيير
تيار الكرامة,فيصل كرامي,6494,سني,الإجماع الوطني,الإرادة الشعبية
خط أحمر,وضاح صادق,3760,سني,تغيير الكتلة,بيروت من أجل التغيير
تحالف وطني,باولا يعقوبيان,3524,الأرمن الأرثوذكس,تغيير الكتلة,من أجل أمتي
حزب الوطنيين الأحرار,كميل شمعون,1876,ماروني,الجمهورية القوية,بعبدا السيادة والقرار
تم طرد الدويهي من أوسوس في 2 ديسمبر 2022.[4],ميشال الدويهي,1768,ماروني,تغيير الكتلة,شمالنا
حزب البعث العربي الاشتراكي (لبنان),قاسم هاشم,1215,سني,التنمية والتحرير,الأمل والولاء
حزب الاتحاد,سينثيا الزرازير,486,الأقليات المسيحية,تغيير الكتلة,من أجل أمتي
